fips   For 0-4 total (not just related kids) poverty ratios     For 5-17 total (not just related kids) poverty ratios                   For 18-64 poverty ratios                                   For 65+ poverty ratios
     cps05 irspr05 irsnf05    fs05   cpsse   gvfse  fnlse   cps05 irspr05 irsnf05    fs05   cpsse   gvfse  fnlse   cps05 irspr05 irsnf05    fs05   cpsse   gvfse   fnlse   cps05 irspr05 irsnf05   SSI05   cpsse   gvfse   fnlse smpsize
24 16.7579  9.6303 11.4410  5.3948 2.76152 3.12786 2.7171 11.7844 12.1813 11.4410  5.3948 1.59248 1.70822 1.6143  8.1046  9.6303 11.4410  5.3948 0.72249 0.81047 0.77809 11.1856  5.6753 37.4440  3.8028 1.70029 1.71371 1.57218  1685
25 11.4393  9.3671 11.6588  6.5528 2.57468 3.10894 3.4708 11.5802 11.3752 11.6588  6.5528 1.93235 2.23041 2.4103 10.0669  9.3671 11.6588  6.5528 0.97159 1.12285 1.06907  7.6083  7.4465 38.8120  4.6272 1.64164 1.77123 1.95643  1100
26 21.9176 13.2660 12.8548 10.9984 3.06284 3.16886 3.0346 14.2873 17.8325 12.8548 10.9984 1.66433 1.76777 1.8552 10.7675 13.2660 12.8548 10.9984 0.70639 0.86533 0.87907  9.1391 12.3127 32.0092  2.8137 1.70675 1.53195 1.48811  1860
27 10.4394  9.7692  9.1913  5.1125 2.17899 2.30155 2.4582  9.7332 11.8103  9.1913  5.1125 1.92249 1.60961 1.6380  7.8748  9.7692  9.1913  5.1125 1.24137 0.83690 0.82893  5.2736  8.8091 32.1417  2.5881 1.13446 1.21940 1.53658  1692
28 30.9364 18.7608 18.3661 14.0889 5.40814 5.56795 5.6356 30.0138 27.3098 18.3661 14.0889 3.18543 3.82283 3.7563 16.3778 18.7608 18.3661 14.0889 1.90131 1.71633 1.72522 16.2006  6.9445 54.9659  8.7420 2.70481 2.72119 2.82814   722
29 24.2677 14.1685 12.3760 13.5575 3.88458 4.13226 3.9000 15.1735 19.1940 12.3760 13.5575 1.61027 2.12579 2.2595  9.8404 14.1685 12.3760 13.5575 0.90221 1.07512 1.15875  8.4948 10.2343 38.3010  2.6055 1.54660 1.57666 1.69984  1318
30 28.6762 16.6960 10.5983  8.6851 7.67372 5.45000 4.9889 16.3500 20.8032 10.5983  8.6851 3.07652 3.10219 3.0456 13.4180 16.6960 10.5983  8.6851 1.76437 1.53214 1.46887  5.9071 12.9663 32.2562  1.8576 1.80776 1.79407 2.19477   761
31 15.1192 12.1276  8.7571  6.7685 3.24992 3.52421 3.4852 11.0329 14.9874  8.7571  6.7685 1.52676 1.85616 1.9031  8.4338 12.1276  8.7571  6.7685 0.85557 1.05717 1.08327  9.4015 11.5348 32.7378  1.6629 1.52413 2.04035 1.93724  1090
32 16.7228 11.1190 14.0893  4.8213 3.71685 3.38345 3.5630 12.2441 15.4411 14.0893  4.8213 2.24276 2.06810 2.1914  9.7185 11.1190 14.0893  4.8213 1.10045 1.03076 1.03117  9.1437  7.2091 37.1683  2.9499 1.57003 1.90154 1.78720  1195
33  6.5019  8.9904  6.5639  4.2215 1.68819 1.91565 2.3351  5.0375  9.7870  6.5639  4.2215 1.23085 1.20199 1.4656  4.8541  8.9904  6.5639  4.2215 0.57532 0.65686 0.74596  9.4993  7.7735 35.7261  1.1055 1.61864 1.62599 1.49170  1489
34  9.4970 10.1194  9.7169  4.6288 2.11069 2.48041 2.6735  8.3566 12.2830  9.7169  4.6288 1.30153 1.53841 1.6742  6.0523 10.1194  9.7169  4.6288 0.60415 0.73596 0.79960  6.7760  8.2236 36.4052  4.2285 1.54660 1.40998 1.57159  1518
35 26.3503 18.7310 15.0492 12.5922 4.96327 4.67871 4.7082 24.1676 26.3725 15.0492 12.5922 3.51411 3.48061 3.3581 15.7584 18.7310 15.0492 12.5922 1.60748 1.58621 1.53562 14.5701  9.3652 42.1323  6.5298 2.89965 3.03465 2.86389   855
36 22.5432 14.5956 15.9678  9.2305 2.41122 2.43372 2.4495 19.6501 20.1092 15.9678  9.2305 1.42021 1.54054 1.5426 12.5435 14.5956 15.9678  9.2305 0.64730 0.71078 0.71692 13.3085  7.8645 45.0850  8.1603 1.33678 1.30573 1.23704  3309
37 19.7875 14.9487 13.4530  9.6054 2.81762 3.21496 3.3220 17.5139 21.0733 13.4530  9.6054 1.78661 2.37501 2.3473 11.0998 14.9487 13.4530  9.6054 0.92790 0.99565 1.01176 12.0070  7.6785 44.2634  4.5965 1.78885 1.85852 1.92276  1534
38 18.7918 12.0057  7.6198  6.7133 4.22978 4.34383 4.1138 10.9432 13.9587  7.6198  6.7133 1.60312 2.09257 2.1014 10.3816 12.0057  7.6198  6.7133 1.23450 1.24188 1.20477 11.1745 10.2494 32.1511  1.9909 1.31263 2.20590 2.18534   958
